Project ID,Project Name,IM Group,Character Count
90021,21CO : (Do Not Use)-Lauderdale Urology Associates,C19-21CO : (Do Not Use)-Lauderdale Urology Associates,53
143534,21CO : Regional Breast Care,C19-21CO : Regional Breast Care,31
16784,21CO : Uromedix,C19-21CO : Uromedix,19
42099,AAS : Arizona Associated Surgeons,C19-AAS : Arizona Associated Surgeons,37
190200,ABMH : Abington Memorial Hospital (MAIN) : Abington Plaza Medical Associates,C19-ABMH : Abington Memorial Hospital (MAIN) : Abington Plaza Medical Associates,80
378631,ABMH : Abington Memorial Hospital (MAIN) : Ambler Medical Associates,C19-ABMH : Ambler Medical Associates,36
190203,ABMH : Abington Memorial Hospital (MAIN) : Bi-County Medical Associates,C19-ABMH : Bi-County Medical Associates,39
190197,ABMH : Abington Memorial Hospital (MAIN) : Buxmont Primary Care,C19-ABMH : Buxmont Primary Care,31
378630,ABMH : Abington Memorial Hospital (MAIN) : Elkins Park Medical Associates,C19-ABMH : Elkins Park Medical Associates,41
190198,ABMH : Abington Memorial Hospital (MAIN) : Family Practice of Willow Grove,C19-ABMH : Family Practice of Willow Grove,42
190196,ABMH : Abington Memorial Hospital (MAIN) : Feasterville Family Health Care,C19-ABMH : Feasterville Family Health Care,42
406772,ABMH : Abington Memorial Hospital (MAIN) : Internal Medical Associates of Abington,C19-ABMH : Internal Medical Associates of Abington,50
194573,ABMH : Abington Memorial Hospital (MAIN) : North Penn Family Medicine Associates,C19-ABMH : North Penn Family Medicine Associates,48
419244,ABMH : Flourtown Urgent Care,C19-ABMH : Flourtown Urgent Care,32
88960,ABRAZ : Abrazo Arrowhead,C19-ABRAZ : Abrazo Arrowhead,28
123990,ABRAZ : Abrazo General and Vascular Surgery,C19-ABRAZ : Abrazo General and Vascular Surgery,47
90397,ABRAZ : Maryvale Speciality Group-FM,C19-ABRAZ : Maryvale Speciality Group-FM,40
464744,ABRAZ : Orthopedic Institute of the West,C19-ABRAZ : Orthopedic Institute of the West,44
366015,ABS : Austin Brain and Spine (MAIN) : Austin Office,C19-ABS : Austin Brain and Spine (MAIN) : Austin Office,55
708618,ABS : Austin Brain and Spine (MAIN) : Georgetown Office,C19-ABS : Austin Brain and Spine (MAIN) : Georgetown Office,59
430456,ACDO : MidWest Orthopedics,C19-ACDO : MidWest Orthopedics,30
706915,ACES : UH Parma Medical Center,C19-ACES : UH Parma Medical Center,34
42144,ACG : Arizona Cardiology Group,C19-ACG : Arizona Cardiology Group,34
340917,ACMC : Advocate Heart Institute,C19-ACMC : Advocate Heart Institute,35
785144,"ACMMD : Amit Chandra, MD (MAIN) : Inova Alexandria Hospital","C19-ACMMD : Amit Chandra, MD (MAIN) : Inova Alexandria Hospital",63
785145,"ACMMD : Amit Chandra, MD (MAIN) : Inova Healthplex","C19-ACMMD : Amit Chandra, MD (MAIN) : Inova Healthplex",54
129428,ACSDH : TS-Alexandria Clinic,C19-ACSDH : TS-Alexandria Clinic,32
367879,ACSMC : TS-Leesville Office,C19-ACSMC : TS-Leesville Office,31
367981,ACSMC : TS-Marksville Office,C19-ACSMC : TS-Marksville Office,32
597738,ADHC : Castle Health Group - Psychiatry,C19-ADHC : Castle Health Group - Psychiatry,43
353715,"ADLGMD : Andrew Guest, MD","C19-ADLGMD : Andrew Guest, MD",29
16409,ADOR : Christian Foglar MD,C19-ADOR : Christian Foglar MD,30
42095,ADVOHS : Advocate Good Shepherd (Main) : Hospital,C19-ADVOHS : Advocate Good Shepherd (Main) : Hospital,53
143949,ADVOHS : Advocate Good Shepherd (Main) : Urgent Care,C19-ADVOHS : Advocate Good Shepherd (Main) : Urgent Care,56
522218,AEA : Aran Eye Associates (MAIN) : Coral Gables Office,C19-AEA : Aran Eye Associates (MAIN) : Coral Gables Office,58
522221,AEA : Aran Eye Associates (MAIN) : Galleria Office,C19-AEA : Aran Eye Associates (MAIN) : Galleria Office,54
522219,AEA : Aran Eye Associates (MAIN) : Hialeah Office,C19-AEA : Aran Eye Associates (MAIN) : Hialeah Office,53
522220,AEA : Aran Eye Associates (MAIN) : Kendall Office,C19-AEA : Aran Eye Associates (MAIN) : Kendall Office,53
522225,AEA : Aran Eye Associates (MAIN) : Miramar Office,C19-AEA : Aran Eye Associates (MAIN) : Miramar Office,53
522224,AEA : Aran Eye Associates (MAIN) : North Miami Beach,C19-AEA : Aran Eye Associates (MAIN) : North Miami Beach,56
522222,AEA : Aran Eye Associates (MAIN) : Sunrise Office,C19-AEA : Aran Eye Associates (MAIN) : Sunrise Office,53
522223,AEA : Aran Eye Associates (MAIN) : The Laser Center of Coral Gables,C19-AEA : Aran Eye Associates (MAIN) : The Laser Center of Coral Gables,71
16448,AEMA : Providence Alaska Medical Center,C19-AEMA : Providence Alaska Medical Center,43
121166,AEMC : Breast Surgery (MAIN) : Einstein Center One,C19-AEMC : Breast Surgery (MAIN) : Einstein Center One,54
121164,AEMC : Breast Surgery (MAIN) : MLS Women's Center-Breast Surgery,C19-AEMC : Breast Surgery (MAIN) : MLS Women's Center-Breast Surgery,68
142092,AEMC : Colorectal Surgery (MAIN) : Einstein Center One-Colorectal,C19-AEMC : Colorectal Surgery (MAIN) : Einstein Center One-Colorectal,69
121165,AEMC : Colorectal Surgery (MAIN) : Einstein Physicians Philadelphia-Colorectal,C19-AEMC : Colorectal Surgery (MAIN) : Einstein Physicians Philadelphia-Colorectal,82
107641,AEMC : Einstein Medical Montgomery-ED,C19-AEMC : Einstein Medical Montgomery-ED,41
741372,AEMC : Einstein Physicians Shannondell,C19-AEMC : Einstein Physicians Shannondell,42
121170,AEMC : EMCM (MAIN) : (Do Not Use)-Einstein Medical Center Montgomery Hospitalist,C19-AEMC : EMCM (MAIN) : (Do Not Use)-Einstein Medical Center Montgomery Hospitalist,84
200719,AEMC : Endocrinology Clinic,C19-AEMC : Endocrinology Clinic,31
121152,AEMC : Medical Oncology (MAIN) : Einstein Center One-Oncology,C19-AEMC : Medical Oncology (MAIN) : Einstein Center One-Oncology,65
121153,AEMC : Medical Oncology (MAIN) : Medical Arts Building Endo-Medical Oncology,C19-AEMC : Medical Oncology (MAIN) : Medical Arts Building Endo-Medical Oncology,80
109341,AEMC : Medical Oncology (MAIN) : MLS Women's Center-Medical Oncology,C19-AEMC : Medical Oncology (MAIN) : MLS Women's Center-Medical Oncology,72
118104,AEMC : Orthopedics (MAIN) : Einstein Holmesburg-Orthopedics,C19-AEMC : Orthopedics (MAIN) : Einstein Holmesburg-Orthopedics,63
109337,AEMC : Orthopedics (MAIN) : EMC Elkins Park Ortho,C19-AEMC : Orthopedics (MAIN) : EMC Elkins Park Ortho,53
109334,AEMC : Orthopedics (MAIN) : ORT-Willowcrest,C19-AEMC : Orthopedics (MAIN) : ORT-Willowcrest,47
123866,AEMC : Philadelphia-Observation Unit,C19-AEMC : Philadelphia-Observation Unit,40
109364,AEMC : Primary Care ECHA (Main) : Einstein Plaza Olney,C19-AEMC : Primary Care ECHA (Main) : Einstein Plaza Olney,58
109332,AEMC : Primary Care-Fornance Physician Services Inc (MAIN) : Plymouth Meeting Family Medicine,C19-AEMC : Primary Care-Fornance Physician Services Inc (MAIN) : Plymouth Meeting Family Medicine,97
118100,AEMC : Primary Care-Fornance Physician Services Inc (MAIN) : Trappe Family Practice,C19-AEMC : Primary Care-Fornance Physician Services Inc (MAIN) : Trappe Family Practice,87
